"","locus","chi2","df","Pr.chi2","Pr.exact","pop"
"1","AGBro110",6.77201209829868,3,0.0795306839036448,0.093,"Simliduinen"
"2","AGBro111",36.8655045351474,10,5.97065808497499e-05,0,"Simliduinen"
"3","AGBro116",1.14291666666667,3,0.766725214768615,0.799,"Simliduinen"
"4","AGBro12",39.3839455782313,10,2.17436556658734e-05,0.008,"Simliduinen"
"5","AGBro138",1.41061224489796,1,0.234954783703343,0.32,"Simliduinen"
"6","AGBro144",11.3399943310658,21,0.955749812363943,0.832,"Simliduinen"
"7","AGBro153",2.91595641735919,6,0.819318898636846,0.683,"Simliduinen"
"8","AGBro16",0.0104123281965848,1,0.918724277407713,1,"Simliduinen"
"9","AGBro161",8.02469135802469,6,0.236299930988026,0.133,"Simliduinen"
"10","AGBro20",0.0475206611570248,1,0.827435078175869,1,"Simliduinen"
"11","AGBro218",0.268144620821455,1,0.604579100394568,1,"Simliduinen"
"12","AGBro227",24.7473958333333,15,0.0534404189565569,0.079,"Simliduinen"
"13","AGBro234",3.03308695563154,3,0.386551897806391,0.341,"Simliduinen"
"14","AGBro266",1.9888231426693,1,0.158463984539009,0.298,"Simliduinen"
"15","AGBro299",4.00838290968091,6,0.675541914386251,0.445,"Simliduinen"
"16","AGBro307",1.97215226305253e-31,1,1,1,"Simliduinen"
"17","AGBro32",1.22621878715814,3,0.746723074974008,0.811,"Simliduinen"
"18","AGBro337",1.81057098765432,1,0.178439749725281,0.373,"Simliduinen"
"19","AGBro35",9.64761248852158,1,0.00189597851944379,0.027,"Simliduinen"
"20","AGBro375",0.180555555555556,1,0.670896238995094,1,"Simliduinen"
"21","AGBro403",6.53838267333077,15,0.969218106142698,0.863,"Simliduinen"
"22","AGBro419",23.1593679138322,6,0.000744821782821314,0.007,"Simliduinen"
"23","AGBro467",27.5734011443102,21,0.152669938959891,0.043,"Simliduinen"
"24","AGBro480",3.2344,6,0.778904136568947,0.625,"Simliduinen"
"25","AGBro487",5.24861723727508,10,0.873963323143169,0.677,"Simliduinen"
"26","AGBro57",10.0974585171183,1,0.0014847394651214,0.015,"Simliduinen"
"27","AGBro76",5.8604,10,0.826852235426875,0.593,"Simliduinen"
"28","AGBro9",47.5751109807054,28,0.0119015568666103,0.187,"Simliduinen"
"29","AGBro110",5.12471655328798,3,0.162889286189885,0.225,"Cabour"
"30","AGBro111",7.37015121630506,6,0.287967471382592,0.286,"Cabour"
"31","AGBro116",7.36111111111111,6,0.288738458238926,0.153,"Cabour"
"32","AGBro12",1.60550964187328,6,0.952180483305846,1,"Cabour"
"33","AGBro138",2.7437641723356,1,0.0976345361407192,0.143,"Cabour"
"34","AGBro144",10.9333333333333,15,0.75730578264058,0.63,"Cabour"
"35","AGBro153",1.11111111111111,3,0.774392516971433,1,"Cabour"
"36","AGBro16",0,0,1,1,"Cabour"
"37","AGBro161",0.625,1,0.429195300440349,1,"Cabour"
"38","AGBro20",0,0,1,1,"Cabour"
"39","AGBro218",3.64152892561983,3,0.302864843204974,0.172,"Cabour"
"40","AGBro227",5.48429752066116,15,0.987171181678189,0.928,"Cabour"
"41","AGBro234",1.5625,3,0.667922260806265,0.543,"Cabour"
"42","AGBro266",3.53057199211045,3,0.316818628825731,0.274,"Cabour"
"43","AGBro299",5.32544378698225,6,0.502799970670564,0.475,"Cabour"
"44","AGBro307",0.4,1,0.527089256865538,1,"Cabour"
"45","AGBro32",1.7151311090705,1,0.1903209864388,0.519,"Cabour"
"46","AGBro337",0.4,1,0.527089256865538,0.563,"Cabour"
"47","AGBro35",0.0277008310249308,1,0.867814107693651,1,"Cabour"
"48","AGBro375",0.0978142736384495,1,0.754468526649911,1,"Cabour"
"49","AGBro403",8.64489795918367,10,0.566102549472983,0.698,"Cabour"
"50","AGBro419",2.6466049382716,6,0.851712945140634,0.757,"Cabour"
"51","AGBro467",21.8877551020408,21,0.406002747020551,0.425,"Cabour"
"52","AGBro480",2.975,6,0.811977997759934,0.834,"Cabour"
"53","AGBro487",5.91111111111111,6,0.433220876930602,0.446,"Cabour"
"54","AGBro57",10,1,0.0015654022580025,0.007,"Cabour"
"55","AGBro76",1.25,6,0.974343069100974,0.889,"Cabour"
"56","AGBro9",15.2777777777778,21,0.808760064787487,0.876,"Cabour"
"57","AGBro110",7.77508517456569,3,0.050896069679205,0.03,"Tropiflora"
"58","AGBro111",44.0982084155161,15,0.000106137924888228,0,"Tropiflora"
"59","AGBro116",0.77859410430839,3,0.854579888983668,0.904,"Tropiflora"
