"","locus","chi2","df","Pr.chi2","Pr.exact","pop"
"1","AGBro110",5.74074074074074,3,0.124928070863975,0.146,"Simliduinen2018"
"2","AGBro111",20.6834467120181,10,0.023412309442512,0.016,"Simliduinen2018"
"3","AGBro116",2.77777777777778,3,0.427171167188125,0.491,"Simliduinen2018"
"4","AGBro12",7.68140589569161,6,0.262385678510856,0.254,"Simliduinen2018"
"5","AGBro138",0.29893574159059,1,0.584550385648649,0.581,"Simliduinen2018"
"6","AGBro144",14.0576064499874,21,0.867112140172088,0.572,"Simliduinen2018"
"7","AGBro153",3.99872448979592,6,0.676849037711952,0.563,"Simliduinen2018"
"8","AGBro16",0.0131492439184747,1,0.908706572535466,1,"Simliduinen2018"
"9","AGBro161",9.69112426035503,6,0.138276648597952,0.077,"Simliduinen2018"
"10","AGBro20",0.0146938775510204,1,0.903518125461653,1,"Simliduinen2018"
"11","AGBro218",2.99022222222222,1,0.0837686721656665,0.15,"Simliduinen2018"
"12","AGBro227",21.9659735349716,15,0.108699228355437,0.096,"Simliduinen2018"
"13","AGBro234",7.41923910304863,3,0.0596702617654568,0.027,"Simliduinen2018"
"14","AGBro266",1.82996432818074,1,0.176131758919181,0.53,"Simliduinen2018"
"15","AGBro299",0.899908172635445,6,0.989123634149346,1,"Simliduinen2018"
"16","AGBro307",0.600888888888889,1,0.438239075549942,0.656,"Simliduinen2018"
"17","AGBro32",2.74727182539683,3,0.432253624250911,0.175,"Simliduinen2018"
"18","AGBro337",2.87752675386445,1,0.0898238883346101,0.275,"Simliduinen2018"
"19","AGBro35",7.73614512471655,1,0.00541262267310005,0.075,"Simliduinen2018"
"20","AGBro375",0.0888888888888889,1,0.765594483995764,1,"Simliduinen2018"
"21","AGBro403",6.3164525069287,15,0.973927799814814,0.854,"Simliduinen2018"
"22","AGBro419",16.5943458251151,6,0.0108955949115638,0.042,"Simliduinen2018"
"23","AGBro467",15.9890426758939,15,0.382780268977587,0.119,"Simliduinen2018"
"24","AGBro480",0.622222222222222,6,0.996018362314104,1,"Simliduinen2018"
"25","AGBro487",3.59524551022527,10,0.96376496826886,0.892,"Simliduinen2018"
"26","AGBro57",7.38946559015763,1,0.00656069785845581,0.034,"Simliduinen2018"
"27","AGBro76",5.32760472610097,10,0.868247327411115,0.584,"Simliduinen2018"
"28","AGBro9",20.9259259259259,21,0.463475933483572,0.667,"Simliduinen2018"
"29","AGBro110",5.12471655328798,3,0.162889286189885,0.226,"Cabour2018"
"30","AGBro111",7.37015121630506,6,0.287967471382592,0.255,"Cabour2018"
"31","AGBro116",7.36111111111111,6,0.288738458238926,0.177,"Cabour2018"
"32","AGBro12",1.60550964187328,6,0.952180483305846,1,"Cabour2018"
"33","AGBro138",2.7437641723356,1,0.0976345361407192,0.135,"Cabour2018"
"34","AGBro144",10.9333333333333,15,0.75730578264058,0.61,"Cabour2018"
"35","AGBro153",1.11111111111111,3,0.774392516971433,1,"Cabour2018"
"36","AGBro16",0,0,1,1,"Cabour2018"
"37","AGBro161",0.625,1,0.429195300440349,1,"Cabour2018"
"38","AGBro20",0,0,1,1,"Cabour2018"
"39","AGBro218",3.64152892561983,3,0.302864843204974,0.166,"Cabour2018"
"40","AGBro227",5.48429752066116,15,0.987171181678189,0.93,"Cabour2018"
"41","AGBro234",1.5625,3,0.667922260806265,0.514,"Cabour2018"
"42","AGBro266",3.53057199211045,3,0.316818628825731,0.272,"Cabour2018"
"43","AGBro299",5.32544378698225,6,0.502799970670564,0.452,"Cabour2018"
"44","AGBro307",0.4,1,0.527089256865538,1,"Cabour2018"
"45","AGBro32",1.7151311090705,1,0.1903209864388,0.514,"Cabour2018"
"46","AGBro337",0.4,1,0.527089256865538,0.559,"Cabour2018"
"47","AGBro35",0.0277008310249308,1,0.867814107693651,1,"Cabour2018"
"48","AGBro375",0.0978142736384495,1,0.754468526649911,1,"Cabour2018"
"49","AGBro403",8.64489795918367,10,0.566102549472983,0.712,"Cabour2018"
"50","AGBro419",2.6466049382716,6,0.851712945140634,0.755,"Cabour2018"
"51","AGBro467",21.8877551020408,21,0.406002747020551,0.419,"Cabour2018"
"52","AGBro480",2.975,6,0.811977997759934,0.854,"Cabour2018"
"53","AGBro487",5.91111111111111,6,0.433220876930602,0.439,"Cabour2018"
"54","AGBro57",10,1,0.0015654022580025,0.006,"Cabour2018"
"55","AGBro76",1.25,6,0.974343069100974,0.902,"Cabour2018"
"56","AGBro9",15.2777777777778,21,0.808760064787487,0.897,"Cabour2018"
"57","AGBro110",5.8,3,0.121756619711254,0.09,"Tropiflora2018"
"58","AGBro111",22.5532301932777,10,0.012521390217253,0.003,"Tropiflora2018"
"59","AGBro116",0.493827160493827,3,0.920245449651764,1,"Tropiflora2018"
"60","AGBro12",7.15324875048058,6,0.306907194931034,0.363,"Tropiflora2018"
"61","AGBro138",1.60352513456918,1,0.205404362352004,0.211,"Tropiflora2018"
"62","AGBro144",24.3034336419753,21,0.278589768798934,0.295,"Tropiflora2018"
"63","AGBro153",0.993797747191801,3,0.80275271568095,0.857,"Tropiflora2018"
"64","AGBro16",0,0,1,1,"Tropiflora2018"
"65","AGBro161",3.73333333333333,6,0.712710579278121,0.612,"Tropiflora2018"
"66","AGBro20",0,0,1,1,"Tropiflora2018"
"67","AGBro218",0.65530612244898,1,0.418221965954249,0.534,"Tropiflora2018"
"68","AGBro227",1.25,21,0.999999999658071,1,"Tropiflora2018"
"69","AGBro234",5.86813492063492,3,0.118204994945193,0.196,"Tropiflora2018"
"70","AGBro266",0.00697288648140808,1,0.933450947095637,1,"Tropiflora2018"
"71","AGBro299",0.246913580246914,6,0.999714039396329,1,"Tropiflora2018"
"72","AGBro307",2.32097572756913,1,0.127639939233524,0.155,"Tropiflora2018"
"73","AGBro32",0.0526315789473684,1,0.818545808382043,1,"Tropiflora2018"
"74","AGBro337",1.25,1,0.263552477282973,0.547,"Tropiflora2018"
"75","AGBro35",4.28063879037567,1,0.0385488582062943,0.078,"Tropiflora2018"
"76","AGBro375",0.899908172635446,1,0.342806334629711,1,"Tropiflora2018"
"77","AGBro403",12.8270647101816,15,0.615653425135941,0.288,"Tropiflora2018"
"78","AGBro419",9.94926538108356,6,0.126804888051969,0.119,"Tropiflora2018"
"79","AGBro467",15.2507936507936,21,0.810160572691275,0.894,"Tropiflora2018"
"80","AGBro480",4.83950617283951,6,0.564556504760227,0.654,"Tropiflora2018"
"81","AGBro487",3.48979591836735,3,0.322087969465165,0.26,"Tropiflora2018"
"82","AGBro57",0.824652777777778,1,0.363823305559639,0.401,"Tropiflora2018"
"83","AGBro76",15.6172839506173,6,0.0159624364980153,0.025,"Tropiflora2018"
"84","AGBro9",30.6888888888889,28,0.331067265927141,0.346,"Tropiflora2018"
"85","AGBro110",6.82729719338716,3,0.0776109334909867,0.079,"Westhoek vissersdorp2018"
"86","AGBro111",10.9820115591122,15,0.753868496283532,0.269,"Westhoek vissersdorp2018"
"87","AGBro116",2.05076261358465,3,0.561937859224456,0.284,"Westhoek vissersdorp2018"
"88","AGBro12",22.4253049894076,6,0.00101367561257293,0.053,"Westhoek vissersdorp2018"
"89","AGBro138",2.8125,1,0.0935325126890938,0.127,"Westhoek vissersdorp2018"
"90","AGBro144",9.15123456790123,15,0.869477936591764,0.758,"Westhoek vissersdorp2018"
"91","AGBro153",19.9388888888889,6,0.00283961119470033,0.07,"Westhoek vissersdorp2018"
"92","AGBro16",0.0554016620498615,3,0.996588885939038,1,"Westhoek vissersdorp2018"
