"","pairloci","Ia","p.Ia","pop"
"1","AGBro110:AGBro111",-0.133573780774659,0.96,"Simliduinen"
"2","AGBro110:AGBro116",-0.0394915633223828,0.6,"Simliduinen"
"3","AGBro110:AGBro12",-0.0165307323635749,0.61,"Simliduinen"
"4","AGBro110:AGBro138",-0.195029960651134,0.95,"Simliduinen"
"5","AGBro110:AGBro144",0.0330667120490133,0.34,"Simliduinen"
"6","AGBro110:AGBro153",0.0190502940982091,0.3,"Simliduinen"
"7","AGBro110:AGBro16",-0.0611797136508114,0.66,"Simliduinen"
"8","AGBro110:AGBro161",-0.037362741088003,0.72,"Simliduinen"
"9","AGBro110:AGBro20",-0.120579284290062,0.89,"Simliduinen"
"10","AGBro110:AGBro218",0.00332683467778017,0.41,"Simliduinen"
"11","AGBro110:AGBro227",0.0725897096076098,0.81,"Simliduinen"
"12","AGBro110:AGBro234",0.255681467300686,0.04,"Simliduinen"
"13","AGBro110:AGBro266",0.104923497734849,0.08,"Simliduinen"
"14","AGBro110:AGBro299",0.11883094815542,0.13,"Simliduinen"
"15","AGBro110:AGBro307",-0.0684567212833489,0.75,"Simliduinen"
"16","AGBro110:AGBro32",0.0129478973989621,0.4,"Simliduinen"
"17","AGBro110:AGBro337",0.00133903077801634,0.43,"Simliduinen"
"18","AGBro110:AGBro35",-0.045164158461488,0.72,"Simliduinen"
"19","AGBro110:AGBro375",0.123556222657466,0.05,"Simliduinen"
"20","AGBro110:AGBro403",0.179047793780387,0.04,"Simliduinen"
"21","AGBro110:AGBro419",-0.0556750941366326,0.64,"Simliduinen"
"22","AGBro110:AGBro467",0.00687469377756011,0.36,"Simliduinen"
"23","AGBro110:AGBro480",0.0328269484808457,0.3,"Simliduinen"
"24","AGBro110:AGBro487",0.0527857821278512,0.23,"Simliduinen"
"25","AGBro110:AGBro57",0.107454896176103,0.35,"Simliduinen"
"26","AGBro110:AGBro76",0.0857009700693896,0.1,"Simliduinen"
"27","AGBro110:AGBro9",0.138545637632165,0.49,"Simliduinen"
"28","AGBro111:AGBro116",-0.0156167419657317,0.56,"Simliduinen"
"29","AGBro111:AGBro12",0.093096147113253,0.09,"Simliduinen"
"30","AGBro111:AGBro138",0.113579327429043,0.08,"Simliduinen"
"31","AGBro111:AGBro144",0.0633477292664828,0.19,"Simliduinen"
"32","AGBro111:AGBro153",0.014859108781127,0.36,"Simliduinen"
"33","AGBro111:AGBro16",-0.0822635650317464,0.99,"Simliduinen"
"34","AGBro111:AGBro161",0.133532037077494,0.03,"Simliduinen"
"35","AGBro111:AGBro20",0.0632118451025059,0.23,"Simliduinen"
"36","AGBro111:AGBro218",0.00489144882587489,0.48,"Simliduinen"
"37","AGBro111:AGBro227",-0.172673596673596,0.95,"Simliduinen"
"38","AGBro111:AGBro234",-0.0582036515132949,0.78,"Simliduinen"
"39","AGBro111:AGBro266",0.0829176530267164,0.17,"Simliduinen"
"40","AGBro111:AGBro299",0.0660222130810366,0.22,"Simliduinen"
"41","AGBro111:AGBro307",0.0966820292171902,0.18,"Simliduinen"
"42","AGBro111:AGBro32",0.139984092716737,0.06,"Simliduinen"
"43","AGBro111:AGBro337",-0.00686173219750874,0.4,"Simliduinen"
"44","AGBro111:AGBro35",0.0322612244897962,0.33,"Simliduinen"
"45","AGBro111:AGBro375",-0.0768672819917671,0.83,"Simliduinen"
"46","AGBro111:AGBro403",-0.028407335381036,0.58,"Simliduinen"
"47","AGBro111:AGBro419",0.0403468338064588,0.28,"Simliduinen"
"48","AGBro111:AGBro467",-0.16704138056754,0.94,"Simliduinen"
"49","AGBro111:AGBro480",0.0356932346584586,0.28,"Simliduinen"
"50","AGBro111:AGBro487",0.166440488544744,0.04,"Simliduinen"
"51","AGBro111:AGBro57",0.0325365312585402,0.31,"Simliduinen"
"52","AGBro111:AGBro76",-0.00451668092386637,0.54,"Simliduinen"
"53","AGBro111:AGBro9",-0.0491211035113019,0.73,"Simliduinen"
"54","AGBro116:AGBro12",0.0324747010119599,0.32,"Simliduinen"
"55","AGBro116:AGBro138",0.0348108031069621,0.36,"Simliduinen"
"56","AGBro116:AGBro144",-0.0378227234597817,0.63,"Simliduinen"
"57","AGBro116:AGBro153",0.0111173275099714,0.48,"Simliduinen"
"58","AGBro116:AGBro16",0.0326258378236297,0.22,"Simliduinen"
"59","AGBro116:AGBro161",0.20008212006638,0.01,"Simliduinen"
"60","AGBro116:AGBro20",0.0287264022302354,0.27,"Simliduinen"
"61","AGBro116:AGBro218",0.0656770484702915,0.2,"Simliduinen"
"62","AGBro116:AGBro227",0.0555106984255151,0.28,"Simliduinen"
"63","AGBro116:AGBro234",-0.00657089696096036,0.43,"Simliduinen"
"64","AGBro116:AGBro266",0.0216405556488568,0.39,"Simliduinen"
"65","AGBro116:AGBro299",0.215794863221249,0.02,"Simliduinen"
"66","AGBro116:AGBro307",0.055294338912921,0.29,"Simliduinen"
"67","AGBro116:AGBro32",0.0709947120194367,0.19,"Simliduinen"
"68","AGBro116:AGBro337",0.156126828413769,0.01,"Simliduinen"
"69","AGBro116:AGBro35",0.0551610061309984,0.56,"Simliduinen"
"70","AGBro116:AGBro375",0.201752968737378,0.06,"Simliduinen"
"71","AGBro116:AGBro403",0.0485320915165011,0.31,"Simliduinen"
"72","AGBro116:AGBro419",-0.0843316495490408,0.78,"Simliduinen"
"73","AGBro116:AGBro467",0.0702028340282737,0.08,"Simliduinen"
"74","AGBro116:AGBro480",-0.108828568852015,0.91,"Simliduinen"
"75","AGBro116:AGBro487",0.14720019647744,0.32,"Simliduinen"
"76","AGBro116:AGBro57",-0.026689762443439,0.56,"Simliduinen"
"77","AGBro116:AGBro76",-0.0283420738749313,0.56,"Simliduinen"
"78","AGBro116:AGBro9",0.234704968944099,0.09,"Simliduinen"
"79","AGBro12:AGBro138",0.0254098645967491,0.29,"Simliduinen"
"80","AGBro12:AGBro144",0.0586309144821819,0.2,"Simliduinen"
"81","AGBro12:AGBro153",-0.00334890279369016,0.5,"Simliduinen"
"82","AGBro12:AGBro16",-0.0853850513191864,0.97,"Simliduinen"
"83","AGBro12:AGBro161",0.0373220469411315,0.28,"Simliduinen"
"84","AGBro12:AGBro20",0.0355696681912203,0.3,"Simliduinen"
"85","AGBro12:AGBro218",0.117133537989256,0.03,"Simliduinen"
"86","AGBro12:AGBro227",-0.0762271587244716,0.8,"Simliduinen"
"87","AGBro12:AGBro234",0.00145942311791813,0.51,"Simliduinen"
"88","AGBro12:AGBro266",0.0524100727788497,0.17,"Simliduinen"
"89","AGBro12:AGBro299",0.125119466417227,0.08,"Simliduinen"
"90","AGBro12:AGBro307",0.0167351732237233,0.38,"Simliduinen"
"91","AGBro12:AGBro32",0.15692296952986,0.04,"Simliduinen"
"92","AGBro12:AGBro337",0.0510277907818022,0.23,"Simliduinen"
"93","AGBro12:AGBro35",-0.0175783650891211,0.53,"Simliduinen"
