"","pairloci","Ia","p.Ia","pop"
"1","AGBro110:AGBro111",-0.0404052337773577,0.66,"Simliduinen2018"
"2","AGBro110:AGBro116",-0.0236838543781297,0.55,"Simliduinen2018"
"3","AGBro110:AGBro12",-0.0504107542942497,0.74,"Simliduinen2018"
"4","AGBro110:AGBro138",-0.140857897453022,0.95,"Simliduinen2018"
"5","AGBro110:AGBro144",0.104818064144974,0.09,"Simliduinen2018"
"6","AGBro110:AGBro153",0.0602991944764095,0.24,"Simliduinen2018"
"7","AGBro110:AGBro16",-0.115461896593972,0.67,"Simliduinen2018"
"8","AGBro110:AGBro161",0.021974268473187,0.37,"Simliduinen2018"
"9","AGBro110:AGBro20",0.0682688958551025,0.29,"Simliduinen2018"
"10","AGBro110:AGBro218",-0.0433848645983732,0.73,"Simliduinen2018"
"11","AGBro110:AGBro227",-0.0372745976037758,0.58,"Simliduinen2018"
"12","AGBro110:AGBro234",0.132809041431213,0.1,"Simliduinen2018"
"13","AGBro110:AGBro266",0.0802875057348218,0.16,"Simliduinen2018"
"14","AGBro110:AGBro299",0.101223112610713,0.18,"Simliduinen2018"
"15","AGBro110:AGBro307",0.0752042523870458,0.19,"Simliduinen2018"
"16","AGBro110:AGBro32",0.0586606726789283,0.24,"Simliduinen2018"
"17","AGBro110:AGBro337",-0.0235429008217084,0.62,"Simliduinen2018"
"18","AGBro110:AGBro35",0.0484541439334889,0.32,"Simliduinen2018"
"19","AGBro110:AGBro375",0.206087422901582,0.03,"Simliduinen2018"
"20","AGBro110:AGBro403",0.304110048649555,0.02,"Simliduinen2018"
"21","AGBro110:AGBro419",0.118092439823709,0.13,"Simliduinen2018"
"22","AGBro110:AGBro467",0.0431471329085789,0.32,"Simliduinen2018"
"23","AGBro110:AGBro480",0.0269849507005711,0.4,"Simliduinen2018"
"24","AGBro110:AGBro487",0.307817132157903,0.03,"Simliduinen2018"
"25","AGBro110:AGBro57",0.123708111493893,0.1,"Simliduinen2018"
"26","AGBro110:AGBro76",0.0869399670008886,0.19,"Simliduinen2018"
"27","AGBro110:AGBro9",0.131020671396083,0.08,"Simliduinen2018"
"28","AGBro111:AGBro116",-0.0914057936153395,0.82,"Simliduinen2018"
"29","AGBro111:AGBro12",0.0119945708784437,0.47,"Simliduinen2018"
"30","AGBro111:AGBro138",0.0760327525703379,0.24,"Simliduinen2018"
"31","AGBro111:AGBro144",0.0476245992422029,0.33,"Simliduinen2018"
"32","AGBro111:AGBro153",0.0576009328086287,0.35,"Simliduinen2018"
"33","AGBro111:AGBro16",-0.089523809523809,0.91,"Simliduinen2018"
"34","AGBro111:AGBro161",0.168757389624247,0.04,"Simliduinen2018"
"35","AGBro111:AGBro20",-0.0406272273699212,0.52,"Simliduinen2018"
"36","AGBro111:AGBro218",-0.148235630949824,0.98,"Simliduinen2018"
"37","AGBro111:AGBro227",-0.0279780347884772,0.5,"Simliduinen2018"
"38","AGBro111:AGBro234",0.00500711537447973,0.54,"Simliduinen2018"
"39","AGBro111:AGBro266",0.0295708338196956,0.34,"Simliduinen2018"
"40","AGBro111:AGBro299",0.303988137048311,0.02,"Simliduinen2018"
"41","AGBro111:AGBro307",-0.127839584304843,0.97,"Simliduinen2018"
"42","AGBro111:AGBro32",0.195136845611503,0.04,"Simliduinen2018"
"43","AGBro111:AGBro337",0.0635550369506028,0.25,"Simliduinen2018"
"44","AGBro111:AGBro35",0.105218050565316,0.11,"Simliduinen2018"
"45","AGBro111:AGBro375",-0.0957211423903055,0.83,"Simliduinen2018"
"46","AGBro111:AGBro403",-0.112640545144804,0.9,"Simliduinen2018"
"47","AGBro111:AGBro419",0.108754758020664,0.16,"Simliduinen2018"
"48","AGBro111:AGBro467",-0.151817362571343,0.97,"Simliduinen2018"
"49","AGBro111:AGBro480",0.205155216117457,0.05,"Simliduinen2018"
"50","AGBro111:AGBro487",0.0517252295030071,0.27,"Simliduinen2018"
"51","AGBro111:AGBro57",0.0602202794432265,0.26,"Simliduinen2018"
"52","AGBro111:AGBro76",-0.0367019735359455,0.69,"Simliduinen2018"
"53","AGBro111:AGBro9",-0.0720540577811492,0.75,"Simliduinen2018"
"54","AGBro116:AGBro12",0.0401753104455809,0.34,"Simliduinen2018"
"55","AGBro116:AGBro138",0.139081071491928,0.1,"Simliduinen2018"
"56","AGBro116:AGBro144",0.0166616681662162,0.47,"Simliduinen2018"
"57","AGBro116:AGBro153",-0.0186641781095854,0.6,"Simliduinen2018"
"58","AGBro116:AGBro16",0.0485654035401621,0.26,"Simliduinen2018"
"59","AGBro116:AGBro161",0.175796681590729,0.06,"Simliduinen2018"
"60","AGBro116:AGBro20",0.0169480477152728,0.3,"Simliduinen2018"
"61","AGBro116:AGBro218",0.0203037096569518,0.29,"Simliduinen2018"
"62","AGBro116:AGBro227",0.110969748374329,0.17,"Simliduinen2018"
"63","AGBro116:AGBro234",-0.0410164957646014,0.72,"Simliduinen2018"
"64","AGBro116:AGBro266",0.12803738317757,0.1,"Simliduinen2018"
"65","AGBro116:AGBro299",0.0103165298944898,0.38,"Simliduinen2018"
"66","AGBro116:AGBro307",0.0155514948874462,0.41,"Simliduinen2018"
"67","AGBro116:AGBro32",0.0605200945626476,0.26,"Simliduinen2018"
"68","AGBro116:AGBro337",0.0112102386846651,0.35,"Simliduinen2018"
"69","AGBro116:AGBro35",0.0468581963435244,0.29,"Simliduinen2018"
"70","AGBro116:AGBro375",0.0701866326367842,0.19,"Simliduinen2018"
"71","AGBro116:AGBro403",0.0518982793724301,0.27,"Simliduinen2018"
"72","AGBro116:AGBro419",2.22044604925031e-16,0.45,"Simliduinen2018"
"73","AGBro116:AGBro467",-0.0517437648763321,0.68,"Simliduinen2018"
"74","AGBro116:AGBro480",-0.00997085442552526,0.48,"Simliduinen2018"
"75","AGBro116:AGBro487",-0.0659606434827218,0.77,"Simliduinen2018"
"76","AGBro116:AGBro57",-0.0476758045292016,0.6,"Simliduinen2018"
"77","AGBro116:AGBro76",0.00971599402092682,0.53,"Simliduinen2018"
"78","AGBro116:AGBro9",0.0963367739324026,0.1,"Simliduinen2018"
"79","AGBro12:AGBro138",0.252884771656102,0.03,"Simliduinen2018"
"80","AGBro12:AGBro144",0.098806345699469,0.14,"Simliduinen2018"
"81","AGBro12:AGBro153",0.0441934691873314,0.35,"Simliduinen2018"
"82","AGBro12:AGBro16",-0.104229524384223,0.98,"Simliduinen2018"
"83","AGBro12:AGBro161",0.13351134846462,0.13,"Simliduinen2018"
"84","AGBro12:AGBro20",0.159589308632331,0.06,"Simliduinen2018"
"85","AGBro12:AGBro218",-0.0884787002784027,0.9,"Simliduinen2018"
"86","AGBro12:AGBro227",-0.075139266744397,0.81,"Simliduinen2018"
"87","AGBro12:AGBro234",0.0110420979986199,0.4,"Simliduinen2018"
"88","AGBro12:AGBro266",0.0842368640533777,0.17,"Simliduinen2018"
"89","AGBro12:AGBro299",0.14892281949383,0.05,"Simliduinen2018"
"90","AGBro12:AGBro307",-0.0593618600049471,0.78,"Simliduinen2018"
"91","AGBro12:AGBro32",0.25010931351115,0.01,"Simliduinen2018"
"92","AGBro12:AGBro337",0.0150068781524868,0.37,"Simliduinen2018"
"93","AGBro12:AGBro35",0.0174727425216661,0.32,"Simliduinen2018"
"94","AGBro12:AGBro375",-0.0694243563783628,0.87,"Simliduinen2018"
