"","locus","observed","median","percentile2.5th","percentile97.5th","pop"
"1","AGBro110",-0.00937500000000001,-0.02109375,-0.134590123211447,0.157172619047619,"Simliduinen2018"
"2","AGBro111",0.157758620689655,0.139490740740741,-0.0101674952651515,0.343293269230769,"Simliduinen2018"
"3","AGBro116",-0.0375,-0.0522727272727272,-0.138229166666667,0.0778987068965517,"Simliduinen2018"
"4","AGBro12",0.0416666666666667,0.028030303030303,-0.0786859101748807,0.180258620689655,"Simliduinen2018"
"5","AGBro138",0.0361111111111111,0.031,-0.0833333333333333,0.183333333333333,"Simliduinen2018"
"6","AGBro144",0.0358851674641148,0.0185714285714286,-0.0756547619047619,0.150005144032922,"Simliduinen2018"
"7","AGBro153",0.0535087719298245,0.043859649122807,-0.0582459677419355,0.186316459551657,"Simliduinen2018"
"8","AGBro16",-0.00119047619047616,-0.00119047619047616,-0.00978260869565226,0,"Simliduinen2018"
"9","AGBro161",0.0841666666666667,0.0685483870967742,-0.0331181722689075,0.2067375,"Simliduinen2018"
"10","AGBro20",-0.00146198830409347,-0.00131578947368441,-0.0119047619047618,0,"Simliduinen2018"
"11","AGBro218",-0.109848484848485,-0.1125,-0.19527027027027,-0.0133333333333333,"Simliduinen2018"
"12","AGBro227",-0.0470588235294117,-0.0534722222222223,-0.118429276315789,0.0140625,"Simliduinen2018"
"13","AGBro234",0.121240601503759,0.107702991452991,-0.0452337658382067,0.28705,"Simliduinen2018"
"14","AGBro266",-0.0761278195488722,-0.0761278195488722,-0.138980263157895,-0.025,"Simliduinen2018"
"15","AGBro299",-0.0324074074074074,-0.0342592592592592,-0.0766507056451613,-0.00760869565217404,"Simliduinen2018"
"16","AGBro307",-0.0524193548387097,-0.0625,-0.160714285714286,0.087962962962963,"Simliduinen2018"
"17","AGBro32",0.1082995951417,0.087962962962963,-0.0540396859083192,0.284469246031746,"Simliduinen2018"
"18","AGBro337",-0.0975806451612904,-0.0975806451612904,-0.160714285714286,-0.0453703703703703,"Simliduinen2018"
"19","AGBro35",0.0881578947368421,0.0845238095238094,-0.00978260869565226,0.265927977839335,"Simliduinen2018"
"20","AGBro375",-0.0178571428571429,-0.0346153846153846,-0.1125,0.119,"Simliduinen2018"
"21","AGBro403",-0.05,-0.0599242424242424,-0.130434743954481,0.0314607771260996,"Simliduinen2018"
"22","AGBro419",0.0955357142857142,0.0831845238095238,-0.062957023326572,0.276042798913044,"Simliduinen2018"
"23","AGBro467",0.0356060606060606,0.0166666666666666,-0.083796332046332,0.1425,"Simliduinen2018"
"24","AGBro480",0.000781250000000053,-0.0056451612903226,-0.107638888888889,0.120708128078818,"Simliduinen2018"
"25","AGBro487",-0.0050933786078098,-0.0156828703703704,-0.117378472222222,0.117713401149934,"Simliduinen2018"
"26","AGBro57",0.140909090909091,0.140909090909091,-0.00978260869565226,0.320068181818182,"Simliduinen2018"
"27","AGBro76",-0.0749601275917066,-0.0821428571428572,-0.160744887689547,0.0277864583333333,"Simliduinen2018"
"28","AGBro9",-0.0743589743589744,-0.08625,-0.117515625,-0.0394327880512092,"Simliduinen2018"
"29","AGBro110",-0.123684210526316,-0.128947368421053,-0.21,-0.0235294117647059,"Cabour2018"
"30","AGBro111",0.02,0.00357142857142857,-0.0921555727554179,0.103333333333333,"Cabour2018"
"31","AGBro116",0.05,0.0233333333333333,-0.108345588235294,0.237620192307692,"Cabour2018"
"32","AGBro12",0.00624999999999994,-0.015625,-0.128987573099415,0.17146978021978,"Cabour2018"
"33","AGBro138",0.183333333333333,0.18,-0.0351785714285713,0.421499999999999,"Cabour2018"
"34","AGBro144",0.0676470588235294,0.0382352941176471,-0.0921052631578947,0.228571428571429,"Cabour2018"
"35","AGBro153",-0.0633333333333333,-0.0633333333333333,-0.144444444444444,-0.0125,"Cabour2018"
"36","AGBro16",NA,NA,NA,NA,"Cabour2018"
"37","AGBro161",-0.075,-0.0833333333333333,-0.213157894736842,0.119230769230769,"Cabour2018"
"38","AGBro20",NA,NA,NA,NA,"Cabour2018"
"39","AGBro218",0.180769230769231,0.157692307692308,-0.0634411764705882,0.404545454545454,"Cabour2018"
"40","AGBro227",0.015625,-0.00937500000000001,-0.123717105263158,0.188461538461538,"Cabour2018"
"41","AGBro234",0.0933333333333333,0.0766666666666667,-0.11390931372549,0.35,"Cabour2018"
"42","AGBro266",-0.071875,-0.0819444444444444,-0.186842105263158,0.0366666666666666,"Cabour2018"
"43","AGBro299",-0.046875,-0.05,-0.144451754385965,0.0346153846153845,"Cabour2018"
"44","AGBro307",-0.0625,-0.075,-0.213157894736842,0.119230769230769,"Cabour2018"
"45","AGBro32",-0.120588235294118,-0.120588235294118,-0.25,0.0571428571428571,"Cabour2018"
"46","AGBro337",0.0714285714285714,0.0571428571428571,-0.120588235294118,0.322727272727273,"Cabour2018"
"47","AGBro35",-0.00454545454545445,-0.00454545454545445,-0.0346153846153846,0,"Cabour2018"
"48","AGBro375",-0.03,-0.0571428571428573,-0.177777777777778,0.15,"Cabour2018"
"49","AGBro403",-0.0333333333333334,-0.0472222222222223,-0.15,0.0900833333333333,"Cabour2018"
"50","AGBro419",-0.0972222222222222,-0.108823529411765,-0.1976875,0.0433333333333333,"Cabour2018"
"51","AGBro467",-0.00555555555555556,-0.0333333333333334,-0.12,0.0969531249999999,"Cabour2018"
"52","AGBro480",-0.0676470588235294,-0.0888888888888889,-0.192105263157895,0.0766666666666667,"Cabour2018"
"53","AGBro487",0.034375,0.0166666666666666,-0.144451754385965,0.2425,"Cabour2018"
"54","AGBro57",0.32,0.32,0,0.5,"Cabour2018"
"55","AGBro76",0.0375,0.021875,-0.118552631578947,0.223076923076923,"Cabour2018"
"56","AGBro9",-0.0447368421052632,-0.0657894736842105,-0.135,0.0441176470588236,"Cabour2018"
"57","AGBro110",-0.0441176470588235,-0.0485064935064935,-0.145394736842105,0.0871120689655173,"Tropiflora2018"
"58","AGBro111",0.240740740740741,0.219444444444444,0.0445171066810345,0.426186079545454,"Tropiflora2018"
"59","AGBro116",0.00258620689655175,-0.00775862068965516,-0.1125,0.151,"Tropiflora2018"
"60","AGBro12",-0.0528571428571429,-0.0617647058823529,-0.138513513513513,0.0295685369318181,"Tropiflora2018"
"61","AGBro138",0.0789999999999999,0.0597826086956522,-0.0534285714285714,0.251184782608696,"Tropiflora2018"
"62","AGBro144",-0.0556390977443609,-0.0676691729323308,-0.141980090027701,0.0304418295531379,"Tropiflora2018"
"63","AGBro153",-0.0568760611205432,-0.06484375,-0.147307947900053,0.0366976033834586,"Tropiflora2018"
"64","AGBro16",NA,NA,NA,NA,"Tropiflora2018"
"65","AGBro161",0.05390625,0.0428553427419354,-0.0625347222222222,0.184834513546798,"Tropiflora2018"
"66","AGBro20",NA,NA,NA,NA,"Tropiflora2018"
"67","AGBro218",0.0547368421052632,0.0457665903890161,-0.0698275862068966,0.2125,"Tropiflora2018"
"68","AGBro227",-0.0348214285714287,-0.0375000000000001,-0.0803030303030303,-0.0114583333333334,"Tropiflora2018"
"69","AGBro234",-0.0304276315789473,-0.0411732456140351,-0.136695906432749,0.0874622439719989,"Tropiflora2018"
"70","AGBro266",-0.0050607287449393,-0.0166666666666667,-0.106140350877193,0.127991002321981,"Tropiflora2018"
"71","AGBro299",-0.0114583333333334,-0.0125,-0.0398239087301586,-0.00119047619047616,"Tropiflora2018"
"72","AGBro307",0.119230769230769,0.102777777777778,-0.0353448275862069,0.294565217391304,"Tropiflora2018"
"73","AGBro32",0.0178571428571428,0.00281954887218042,-0.122248381791171,0.1875,"Tropiflora2018"
"74","AGBro337",-0.0571428571428573,-0.0571428571428573,-0.1125,-0.0166666666666667,"Tropiflora2018"
"75","AGBro35",0.123205741626794,0.100686498855835,-0.025,0.300065789473684,"Tropiflora2018"
"76","AGBro375",-0.0453703703703703,-0.0453703703703703,-0.0975806451612904,-0.00978260869565226,"Tropiflora2018"
"77","AGBro403",0.0411764705882353,0.0264705882352941,-0.0664473684210527,0.1566875,"Tropiflora2018"
"78","AGBro419",0.120857699805068,0.107478070175439,-0.0474303713527852,0.315241368286445,"Tropiflora2018"
"79","AGBro467",-0.0209459459459459,-0.0297297297297298,-0.091875,0.0522833110516934,"Tropiflora2018"
"80","AGBro480",-0.0335714285714286,-0.0463235294117647,-0.125,0.0649518229166665,"Tropiflora2018"
"81","AGBro487",0.0535714285714285,0.0402223230490018,-0.0797865580143541,0.213824132341724,"Tropiflora2018"
"82","AGBro57",0.0457665903890161,0.0442839635854342,-0.0495951417004048,0.200137844611529,"Tropiflora2018"
"83","AGBro76",0.172321428571429,0.154017857142857,-0.0136363636363637,0.365677083333333,"Tropiflora2018"
"84","AGBro9",0.0243055555555555,0.0111111111111111,-0.0705263157894737,0.1167578125,"Tropiflora2018"
"85","AGBro110",-0.0360294117647058,-0.0470588235294117,-0.157454954954955,0.0991666666666666,"Westhoek vissersdorp2018"
"86","AGBro111",0.0838709677419354,0.07734375,-0.0559317226890756,0.225046296296296,"Westhoek vissersdorp2018"
