"","pop","Fis_mean","Fis_sd","Fis_se","MEAN_X","MEAN_Y","Number_pop","Region2","Region","years_samp"
"1","Simliduinen",0.0316190476190476,0.139134239563982,0.0303615802172414,33814.7094369266,204776.505690065,25,"Coast","Flanders-coast","2018, 2020"
"2","Cabour",0.00448095238095238,0.210443098292739,0.0459224489241672,24000.043155673,196525.258622106,5,"Coast","Flanders-coast","2018"
"3","Tropiflora",0.0723428571428571,0.148184582772394,0.0323365270180927,24109.4892377299,198094.010415721,7,"Coast","Flanders-coast","2018, 2020"
"4","Westhoek vissersdorp",0.12587619047619,0.166887548681026,0.03641784877983,23467.2943754348,199618.258710496,8,"Coast","Flanders-coast","2018, 2020"
"5","Geel-Bel",0.0714285714285714,0.183393214549659,0.0400196803626232,199027.845082969,205395.374734821,46,"Inland","Flanders-inland","2018, 2020"
"6","Karthuizerduinen",0.136214285714286,0.237116130378585,0.0517429817121374,33449.4359923557,204338.377954297,24,"Coast","Flanders-coast","2018, 2020"
"7","Oostvoordduinen",0.0207238095238095,0.178391487758699,0.0389282140947631,33104.2531785131,202483.972628478,21,"Coast","Flanders-coast","2018, 2020"
"8","Astridlaan",0.0713095238095238,0.210536730535937,0.0459428811547359,31560.0661394582,203551.844519696,19,"Coast","Flanders-coast","2018, 2020"
"9","Wetteren",0.00489523809523809,0.139478627309672,0.030436731784529,117432.840112336,188634.139173085,41,"Inland","Flanders-inland","2018, 2020"
"10","Mt St Frieux",-0.0215857142857143,0.119577386180307,0.0260939249322011,-45055.8363655285,147290.022350199,1,"Coast","France-Picardie","2018"
"11","Sangatte",0.0573142857142857,0.121835821028605,0.0265867558200322,-30478.697768569,186092.799388697,3,"Coast","France-Picardie","2018"
"12","HB-Pylyserlaan",0.0865857142857143,0.224236982421978,0.0489325212170093,29915.9867301441,201394.672535074,16,"Coast","Flanders-coast","2018, 2020"
"13","HB-Doornpanne",0.136628571428571,0.160295795774116,0.0349794103675271,29652.166341216,202069.44728801,14,"Coast","Flanders-coast","2018, 2020"
"14","Witte Burg",0.0229476190476191,0.163663097914733,0.0357142159364398,30561.5640153685,202010.765373005,18,"Coast","Flanders-coast","2018, 2020"
"15","Ter Yde IWVA",-0.0087,0.205529070936449,0.0448501202419156,33151.3466848884,203994.352567668,23,"Coast","Flanders-coast","2018, 2020"
"16","Veurne",0.148795238095238,0.130328594238526,0.028440030872154,31418.6559921724,196887.771305956,6,"Coast","Flanders-coast","2018"
"17","Slack",0.00344285714285714,0.160988948600295,0.0351306687148671,-42871.8716275795,169089.634168869,2,"Coast","France-Picardie","2018"
"18","HB-Noord",0.110495238095238,0.246193965149819,0.053723927663827,29615.5205821993,201772.772123033,13,"Coast","Flanders-coast","2018, 2020"
"19","Belvedere",0.151480952380952,0.191186745406285,0.0417203682236453,27469.4611076226,199611.067471716,12,"Coast","Flanders-coast","2018, 2020"
"20","Westhoek NO",0.0833666666666667,0.0949063977471136,0.0207102738862731,24120.8691879527,199559.082450278,9,"Coast","Flanders-coast","2018, 2020"
"21","Westhoek Oost",0.0537666666666667,0.260667325020482,0.0568822737194292,24446.7850436489,199084.815943342,10,"Coast","Flanders-coast","2018, 2020"
"22","Oosthoekduinen",0.0469190476190476,0.181975068674386,0.0397102155616744,26503.1559451393,199039.925936938,11,"Coast","Flanders-coast","2018, 2020"
"23","Schipgatduinen",0.0634285714285714,0.18490668766396,0.0403499472725549,29945.5486586708,202880.063713446,17,"Coast","Flanders-coast","2018, 2020"
"24","HB-Oost",0.0572619047619048,0.186246673731883,0.0406423562052427,29672.8367643692,201505.012482839,15,"Coast","Flanders-coast","2018, 2020"
"25","Zwinbosjes",0.107780952380952,0.0993100076480091,0.0216712203482688,78243.4443707522,228544.866558982,38,"Coast","Flanders-coast","2018, 2020"
"26","Ter Yde West",0.00510952380952381,0.267696245593325,0.0584161099374715,32486.0492189581,203868.703474727,22,"Coast","Flanders-coast","2018, 2020"
"27","Plaatsduinen",0.140419047619048,0.161413182915918,0.035223244232188,32343.8878160382,203286.675125415,20,"Coast","Flanders-coast","2018, 2020"
"28","Westhoek Zuid",0.104961904761905,0.190667604684672,0.0416070824306394,23274.3523844579,197883.930488607,4,"Coast","Flanders-coast","2018, 2020"
"29","Kopberg",0.21997619047619,0.281930012422874,0.0615221725051267,201751.857102924,204674.64229046,47,"Inland","Flanders-inland","2020"
"30","Keiheuvel",0.0793904761904762,0.291759836003453,0.0636672158682727,210274.429083183,208479.656254888,48,"Inland","Flanders-inland","2020"
"31","Kortenhoeff-NL",0.0912809523809524,0.21858442217836,0.0476990314462152,149108.507852097,234460.777414702,42,"Inland","Flanders-inland","2020"
"32","Arendschot",0.106119047619048,0.358567947004536,0.0782459409015809,196699.590117344,190406.56087493,45,"Inland","Flanders-inland","2020"
"33","Kalmthout",0.171357142857143,0.245237936648123,0.0535153051411813,154547.131792131,232375.786152246,43,"Inland","Flanders-inland","2020"
"34","Hamont-Achel3",-0.0103142857142857,0.251282863095983,0.054834416237265,230584.834237254,220105.267416517,50,"Inland","Flanders-inland","2020"
"35","Hamont-Achel2",0.113752380952381,0.275792981453567,0.0601829625546916,230347.333051709,220397.920008188,49,"Inland","Flanders-inland","2020"
"36","Hamont-Achel1",-0.0254095238095238,0.250804937959287,0.0547301244222446,230612.992495016,220822.730366927,51,"Inland","Flanders-inland","2020"
"37","Vloethemveld-Zuid",0.123190476190476,0.172236697323079,0.0375851287110575,61176.5501597679,204480.048843921,40,"Coast","Flanders-coast","2020"
"38","Raversijde2",0.210514285714286,0.248990486335752,0.0543341786170215,42218.0977621053,210273.837991524,30,"Coast","Flanders-coast","2020"
"39","Vloethemveld-Noord",0.102138095238095,0.214354966063748,0.0467760884560388,60996.0173344236,205437.804454946,39,"Coast","Flanders-coast","2020"
"40","DuinbossenDeHaan",0.332785714285714,0.230820725424981,0.0503692117249806,59600.4974524166,221053.034279187,36,"Coast","Flanders-coast","2020"
"41","Raversijde1",0.361480952380952,0.316864677140018,0.0691455413358035,41944.7278336898,210035.728060012,29,"Coast","Flanders-coast","2020"
"42","Raversijde3",0.200805263157895,0.327700085568911,0.0715100213030019,42839.3553858772,210691.178500276,31,"Coast","Flanders-coast","2020"
"43","Bredene",0.359390476190476,0.315605207347347,0.068870702494831,53808.1052987918,217367.810230054,35,"Coast","Flanders-coast","2020"
"44","Fort Napoleon",0.0531809523809524,0.294555895576795,0.0642773660893414,50050.3223611762,215428.560420427,33,"Coast","Flanders-coast","2020"
"45","Averbode",0.181938095238095,0.299369838955414,0.0653278546571392,194424.342186617,192633.329734554,44,"Inland","Flanders-inland","2020"
"46","Sint-Laureins2",0.1732,0.275562756917549,0.0601327234421611,38042.734247845,207317.394316467,27,"Coast","Flanders-coast","2020"
"47","Sint-Laureins1",0.141428571428571,0.296984383668329,0.0648073056371392,37336.9638095544,207156.450944427,26,"Coast","Flanders-coast","2020"
"48","WarandeduinenMiddelkerke",0.125209523809524,0.319652243703625,0.0697538382302064,39485.8549957586,208330.732418753,28,"Coast","Flanders-coast","2020"
"49","Raversijde4",0.0175380952380952,0.383567694776542,0.0837013331168201,43074.0022835104,210795.354218072,32,"Coast","Flanders-coast","2020"
"50","SpanjaardduinenOostende",0.263566666666667,0.251345233361075,0.054848026544927,51403.9731434408,216230.488889898,34,"Coast","Flanders-coast","2020"
"51","Zwinbosjes-grazed",0.098105,0.247974295091882,0.0541124275077079,77921.1340207293,228387.481970656,37,"Coast","Flanders-coast","2020"
"52","Harchies",0.216989473684211,0.231809878743424,0.0505850626752512,100876.461627488,127411.662492655,52,"Inland","Wallonia","2021"
"53","Lagland",0.268871428571429,0.260243159646622,0.0567897132464344,249207.561884685,38937.7422009759,53,"Inland","Wallonia","2021"
