"","pop","Fis_mean","Fis_sd","Fis_se","MEAN_X","MEAN_Y","Number_pop","Region2","Region","years_samp"
"1","Simliduinen",0.090547619047619,0.178958365602303,0.039051916981816,33814.7094369266,204776.505690065,25,"Coast","Flanders-coast","2018, 2020"
"2","Cabour",0.00448095238095238,0.210443098292739,0.0459224489241672,24000.043155673,196525.258622106,5,"Coast","Flanders-coast","2018"
"3","Tropiflora",0.14422380952381,0.208215395455672,0.0454363243109896,24109.4892377299,198094.010415721,7,"Coast","Flanders-coast","2018, 2020"
"4","Westhoek vissersdorp",0.0611238095238095,0.24893895417303,0.054322933377193,23467.2943754348,199618.258710496,8,"Coast","Flanders-coast","2018, 2020"
"5","Geel-Bel",0.138242857142857,0.310807767874982,0.0678238153746366,199027.845082969,205395.374734821,46,"Inland","Flanders-inland","2018, 2020"
"6","Karthuizerduinen",0.0528428571428571,0.242360641547733,0.0528874278747878,33449.4359923557,204338.377954297,24,"Coast","Flanders-coast","2018, 2020"
"7","Oostvoordduinen",0.0417190476190476,0.291983584502704,0.0637160417937226,33104.2531785131,202483.972628478,21,"Coast","Flanders-coast","2018, 2020"
"8","Astridlaan",0.124,0.236746387512038,0.0516622972038696,31560.0661394582,203551.844519696,19,"Coast","Flanders-coast","2018, 2020"
"9","Wetteren",-0.0177857142857143,0.214260531329768,0.0467554811076246,117432.840112336,188634.139173085,41,"Inland","Flanders-inland","2018, 2020"
"10","Mt St Frieux",0.00297142857142857,0.191576569921421,0.0418054349069006,-45055.8363655285,147290.022350199,1,"Coast","France-Picardie","2018"
"11","Sangatte",0.046247619047619,0.182973874143408,0.0399281727838804,-30478.697768569,186092.799388697,3,"Coast","France-Picardie","2018"
"12","HB-Pylyserlaan",0.102442857142857,0.257297626439555,0.0561469452043681,29915.9867301441,201394.672535074,16,"Coast","Flanders-coast","2018, 2020"
"13","HB-Doornpanne",0.151595238095238,0.230660834291803,0.050334320619231,29652.166341216,202069.44728801,14,"Coast","Flanders-coast","2018, 2020"
