"","pop1","pop2","actual","X_1","X_2"
"1","Simliduinen","Simliduinen",0,25,25
"2","Simliduinen","Cabour",0.0480793968294499,25,5
"3","Simliduinen","Tropiflora",0.0383182980964305,25,7
"4","Simliduinen","Westhoek vissersdorp",0.0435604963729653,25,8
"5","Simliduinen","Geel-Bel",0.149053912433643,25,46
"6","Simliduinen","Karthuizerduinen",0.0418787571765162,25,24
"7","Simliduinen","Oostvoordduinen",0.0325402728023425,25,21
"8","Simliduinen","Astridlaan",0.0268936014651288,25,19
"9","Simliduinen","Wetteren",0.174615659668325,25,41
"10","Simliduinen","Mt St Frieux",0.0998773926714744,25,1
"11","Simliduinen","Sangatte",0.0665438145128733,25,3
"12","Simliduinen","HB-Pylyserlaan",0.0487793013783417,25,16
"13","Simliduinen","HB-Doornpanne",0.0357579192135156,25,14
"14","Simliduinen","Witte Burg",0.0332800610236582,25,18
"15","Simliduinen","Ter Yde IWVA",0.0316138390173711,25,23
"16","Simliduinen","Veurne",0.046574388416946,25,6
"17","Simliduinen","Slack",0.104422926218942,25,2
"18","Simliduinen","HB-Noord",0.0476128783916755,25,13
"19","Simliduinen","Belvedere",0.0484346896827757,25,12
"20","Simliduinen","Westhoek NO",0.0428035156581648,25,9
"21","Simliduinen","Westhoek Oost",0.0441747626713723,25,10
"22","Simliduinen","Oosthoekduinen",0.0337944385136064,25,11
"23","Simliduinen","Schipgatduinen",0.055965343850058,25,17
"24","Simliduinen","HB-Oost",0.0555845105101972,25,15
"25","Simliduinen","Zwinbosjes",0.11211172569844,25,38
"26","Simliduinen","Ter Yde West",0.031807152399753,25,22
"27","Simliduinen","Plaatsduinen",0.0344136836108533,25,20
"28","Simliduinen","Westhoek Zuid",0.0476462001545038,25,4
"29","Simliduinen","Kopberg",0.133338843910476,25,47
"30","Simliduinen","Keiheuvel",0.22153131683896,25,48
"31","Simliduinen","Kortenhoeff-NL",0.203528042098818,25,42
"32","Simliduinen","Arendschot",0.206130318259632,25,45
"33","Simliduinen","Kalmthout",0.15790878062085,25,43
"34","Simliduinen","Hamont-Achel3",0.180483135453843,25,50
"35","Simliduinen","Hamont-Achel2",0.249005995573932,25,49
"36","Simliduinen","Hamont-Achel1",0.174201677012207,25,51
"37","Simliduinen","Vloethemveld-Zuid",0.120489629480709,25,40
"38","Simliduinen","Raversijde2",0.0669279834291452,25,30
"39","Simliduinen","Vloethemveld-Noord",0.168226432153249,25,39
"40","Simliduinen","DuinbossenDeHaan",0.0788530722911273,25,36
"41","Simliduinen","Raversijde1",0.0896815975831605,25,29
"42","Simliduinen","Raversijde3",0.0987827629197024,25,31
"43","Simliduinen","Bredene",0.0874523898713718,25,35
"44","Simliduinen","Fort Napoleon",0.057963291987993,25,33
"45","Simliduinen","Averbode",0.103751313486567,25,44
"46","Simliduinen","Sint-Laureins2",0.0678928286200116,25,27
"47","Simliduinen","Sint-Laureins1",0.0720236333707624,25,26
"48","Simliduinen","WarandeduinenMiddelkerke",0.0655428785047199,25,28
"49","Simliduinen","Raversijde4",0.116336363527012,25,32
"50","Simliduinen","SpanjaardduinenOostende",0.0752082263417726,25,34
"51","Simliduinen","Zwinbosjes-grazed",0.139229793030427,25,37
"52","Simliduinen","Harchies",0.233860311616729,25,52
"53","Simliduinen","Lagland",0.208127441501717,25,53
"54","Cabour","Simliduinen",0.0480793968294499,5,25
"55","Cabour","Cabour",0,5,5
"56","Cabour","Tropiflora",0.0569073720265681,5,7
"57","Cabour","Westhoek vissersdorp",0.0407367888348926,5,8
"58","Cabour","Geel-Bel",0.167102973370793,5,46
"59","Cabour","Karthuizerduinen",0.0569801638858056,5,24
"60","Cabour","Oostvoordduinen",0.0336294611643203,5,21
"61","Cabour","Astridlaan",0.0353287754612256,5,19
"62","Cabour","Wetteren",0.180502933253934,5,41
"63","Cabour","Mt St Frieux",0.110073183188503,5,1
"64","Cabour","Sangatte",0.0560079747660748,5,3
"65","Cabour","HB-Pylyserlaan",0.0431588562730218,5,16
"66","Cabour","HB-Doornpanne",0.0654712127486916,5,14
"67","Cabour","Witte Burg",0.038930084448409,5,18
"68","Cabour","Ter Yde IWVA",0.0519941587765012,5,23
"69","Cabour","Veurne",0.0518201191248166,5,6
"70","Cabour","Slack",0.100418733047565,5,2
"71","Cabour","HB-Noord",0.0481191836280819,5,13
"72","Cabour","Belvedere",0.0457203895012473,5,12
"73","Cabour","Westhoek NO",0.0331411815642039,5,9
"74","Cabour","Westhoek Oost",0.0440204933179312,5,10
"75","Cabour","Oosthoekduinen",0.0334587279129011,5,11
"76","Cabour","Schipgatduinen",0.0899350867982873,5,17
"77","Cabour","HB-Oost",0.0510372049741857,5,15
"78","Cabour","Zwinbosjes",0.127072522394418,5,38
"79","Cabour","Ter Yde West",0.0449879027257005,5,22
"80","Cabour","Plaatsduinen",0.0444497486837601,5,20
"81","Cabour","Westhoek Zuid",0.0635336555313641,5,4
"82","Cabour","Kopberg",0.147323123871884,5,47
"83","Cabour","Keiheuvel",0.282574576997652,5,48
"84","Cabour","Kortenhoeff-NL",0.261623632547761,5,42
"85","Cabour","Arendschot",0.154127813431435,5,45
"86","Cabour","Kalmthout",0.206710478791466,5,43
"87","Cabour","Hamont-Achel3",0.200937518301883,5,50
"88","Cabour","Hamont-Achel2",0.241168746635847,5,49
"89","Cabour","Hamont-Achel1",0.218390662210162,5,51
"90","Cabour","Vloethemveld-Zuid",0.107514457499433,5,40
"91","Cabour","Raversijde2",0.0954353603255954,5,30
"92","Cabour","Vloethemveld-Noord",0.151670194308034,5,39
"93","Cabour","DuinbossenDeHaan",0.101522196133937,5,36
"94","Cabour","Raversijde1",0.113918460750205,5,29
"95","Cabour","Raversijde3",0.125144588962742,5,31
"96","Cabour","Bredene",0.0805015720625163,5,35
"97","Cabour","Fort Napoleon",0.0872260343251258,5,33
"98","Cabour","Averbode",0.135186614802277,5,44
"99","Cabour","Sint-Laureins2",0.0846000905596209,5,27
"100","Cabour","Sint-Laureins1",0.0800730803822771,5,26
"101","Cabour","WarandeduinenMiddelkerke",0.096059324161015,5,28
"102","Cabour","Raversijde4",0.115084072287454,5,32
"103","Cabour","SpanjaardduinenOostende",0.0945978604415949,5,34
"104","Cabour","Zwinbosjes-grazed",0.140701750313299,5,37
"105","Cabour","Harchies",0.305416489635286,5,52
"106","Cabour","Lagland",0.206107165897174,5,53
"107","Tropiflora","Simliduinen",0.0383182980964305,7,25
"108","Tropiflora","Cabour",0.0569073720265681,7,5
"109","Tropiflora","Tropiflora",0,7,7
"110","Tropiflora","Westhoek vissersdorp",0.0335790456585401,7,8
"111","Tropiflora","Geel-Bel",0.124034301763455,7,46
"112","Tropiflora","Karthuizerduinen",0.0337719951058448,7,24
"113","Tropiflora","Oostvoordduinen",0.0350842962198806,7,21
"114","Tropiflora","Astridlaan",0.0304691046049393,7,19
"115","Tropiflora","Wetteren",0.165623767233335,7,41
"116","Tropiflora","Mt St Frieux",0.0667883013017456,7,1
"117","Tropiflora","Sangatte",0.0452523103705759,7,3
"118","Tropiflora","HB-Pylyserlaan",0.0359890250195325,7,16
"119","Tropiflora","HB-Doornpanne",0.0456604320261694,7,14
"120","Tropiflora","Witte Burg",0.0446496978478195,7,18
"121","Tropiflora","Ter Yde IWVA",0.0335965059724128,7,23
"122","Tropiflora","Veurne",0.0391596955041737,7,6
"123","Tropiflora","Slack",0.0592731947813156,7,2
"124","Tropiflora","HB-Noord",0.0449957236137788,7,13
"125","Tropiflora","Belvedere",0.0369730142757512,7,12
"126","Tropiflora","Westhoek NO",0.0287993731288236,7,9
"127","Tropiflora","Westhoek Oost",0.0367792532223384,7,10
"128","Tropiflora","Oosthoekduinen",0.0323804784149275,7,11
"129","Tropiflora","Schipgatduinen",0.0643721844403473,7,17
"130","Tropiflora","HB-Oost",0.0535532170627875,7,15
"131","Tropiflora","Zwinbosjes",0.120582897215701,7,38
"132","Tropiflora","Ter Yde West",0.0334756366779264,7,22
"133","Tropiflora","Plaatsduinen",0.0368689152087861,7,20
"134","Tropiflora","Westhoek Zuid",0.0296719064810768,7,4
"135","Tropiflora","Kopberg",0.117775120525997,7,47
"136","Tropiflora","Keiheuvel",0.194752485567653,7,48
"137","Tropiflora","Kortenhoeff-NL",0.272174039538855,7,42
"138","Tropiflora","Arendschot",0.171646511840069,7,45
"139","Tropiflora","Kalmthout",0.166307554194402,7,43
"140","Tropiflora","Hamont-Achel3",0.153790559248975,7,50
"141","Tropiflora","Hamont-Achel2",0.228674585995495,7,49
"142","Tropiflora","Hamont-Achel1",0.166499227266355,7,51
"143","Tropiflora","Vloethemveld-Zuid",0.0627952136398692,7,40
"144","Tropiflora","Raversijde2",0.0728556751631051,7,30
"145","Tropiflora","Vloethemveld-Noord",0.108894021655831,7,39
"146","Tropiflora","DuinbossenDeHaan",0.0792706152748721,7,36
"147","Tropiflora","Raversijde1",0.0900657405095816,7,29
"148","Tropiflora","Raversijde3",0.0899047634362965,7,31
"149","Tropiflora","Bredene",0.0821207982201774,7,35
"150","Tropiflora","Fort Napoleon",0.0779446581302618,7,33
"151","Tropiflora","Averbode",0.067920837453659,7,44
"152","Tropiflora","Sint-Laureins2",0.0720999517132019,7,27
"153","Tropiflora","Sint-Laureins1",0.0777680832604379,7,26
"154","Tropiflora","WarandeduinenMiddelkerke",0.0768283972824975,7,28
"155","Tropiflora","Raversijde4",0.110563458895787,7,32
"156","Tropiflora","SpanjaardduinenOostende",0.0674328654009838,7,34
"157","Tropiflora","Zwinbosjes-grazed",0.124977246314237,7,37
"158","Tropiflora","Harchies",0.23750525909365,7,52
"159","Tropiflora","Lagland",0.175783482696545,7,53
"160","Westhoek vissersdorp","Simliduinen",0.0435604963729653,8,25
"161","Westhoek vissersdorp","Cabour",0.0407367888348926,8,5
"162","Westhoek vissersdorp","Tropiflora",0.0335790456585401,8,7
"163","Westhoek vissersdorp","Westhoek vissersdorp",0,8,8
"164","Westhoek vissersdorp","Geel-Bel",0.169398413007856,8,46
"165","Westhoek vissersdorp","Karthuizerduinen",0.0463067457491669,8,24
"166","Westhoek vissersdorp","Oostvoordduinen",0.0312517366342287,8,21
"167","Westhoek vissersdorp","Astridlaan",0.0392448420425237,8,19
"168","Westhoek vissersdorp","Wetteren",0.167323690578392,8,41
"169","Westhoek vissersdorp","Mt St Frieux",0.093892055763934,8,1
"170","Westhoek vissersdorp","Sangatte",0.0501725136111205,8,3
"171","Westhoek vissersdorp","HB-Pylyserlaan",0.0528090196732715,8,16
"172","Westhoek vissersdorp","HB-Doornpanne",0.0426600654876559,8,14
"173","Westhoek vissersdorp","Witte Burg",0.0443915096114455,8,18
"174","Westhoek vissersdorp","Ter Yde IWVA",0.0294650812664687,8,23
"175","Westhoek vissersdorp","Veurne",0.0432135903131113,8,6
"176","Westhoek vissersdorp","Slack",0.0908159999865137,8,2
"177","Westhoek vissersdorp","HB-Noord",0.0581785177859669,8,13
"178","Westhoek vissersdorp","Belvedere",0.0501689121006627,8,12
"179","Westhoek vissersdorp","Westhoek NO",0.0356047371340185,8,9
"180","Westhoek vissersdorp","Westhoek Oost",0.0380623978406073,8,10
"181","Westhoek vissersdorp","Oosthoekduinen",0.0372008487981501,8,11
"182","Westhoek vissersdorp","Schipgatduinen",0.066890577032129,8,17
"183","Westhoek vissersdorp","HB-Oost",0.0520337880290002,8,15
"184","Westhoek vissersdorp","Zwinbosjes",0.116975810938594,8,38
"185","Westhoek vissersdorp","Ter Yde West",0.0338316275295508,8,22
"186","Westhoek vissersdorp","Plaatsduinen",0.0307598388156742,8,20
"187","Westhoek vissersdorp","Westhoek Zuid",0.0417533535273425,8,4
"188","Westhoek vissersdorp","Kopberg",0.149433153393387,8,47
"189","Westhoek vissersdorp","Keiheuvel",0.262866651948497,8,48
"190","Westhoek vissersdorp","Kortenhoeff-NL",0.278509159843049,8,42
"191","Westhoek vissersdorp","Arendschot",0.179781379967487,8,45
"192","Westhoek vissersdorp","Kalmthout",0.201995306133631,8,43
"193","Westhoek vissersdorp","Hamont-Achel3",0.203949361554034,8,50
"194","Westhoek vissersdorp","Hamont-Achel2",0.262909867851664,8,49
"195","Westhoek vissersdorp","Hamont-Achel1",0.216805344715651,8,51
"196","Westhoek vissersdorp","Vloethemveld-Zuid",0.0937297983737842,8,40
"197","Westhoek vissersdorp","Raversijde2",0.0684986223500188,8,30
"198","Westhoek vissersdorp","Vloethemveld-Noord",0.165623606693778,8,39
"199","Westhoek vissersdorp","DuinbossenDeHaan",0.0748736590306961,8,36
"200","Westhoek vissersdorp","Raversijde1",0.10670494704482,8,29
"201","Westhoek vissersdorp","Raversijde3",0.112246794543469,8,31
"202","Westhoek vissersdorp","Bredene",0.0788552312069183,8,35
"203","Westhoek vissersdorp","Fort Napoleon",0.084271738799725,8,33
"204","Westhoek vissersdorp","Averbode",0.121281613822785,8,44
"205","Westhoek vissersdorp","Sint-Laureins2",0.0908345328171292,8,27
"206","Westhoek vissersdorp","Sint-Laureins1",0.0634595606949511,8,26
"207","Westhoek vissersdorp","WarandeduinenMiddelkerke",0.0764871546266526,8,28
"208","Westhoek vissersdorp","Raversijde4",0.131408890214254,8,32
"209","Westhoek vissersdorp","SpanjaardduinenOostende",0.0844324505930339,8,34
"210","Westhoek vissersdorp","Zwinbosjes-grazed",0.117450508110831,8,37
"211","Westhoek vissersdorp","Harchies",0.291969331182074,8,52
"212","Westhoek vissersdorp","Lagland",0.167551470803801,8,53
"213","Geel-Bel","Simliduinen",0.149053912433643,46,25
"214","Geel-Bel","Cabour",0.167102973370793,46,5
"215","Geel-Bel","Tropiflora",0.124034301763455,46,7
"216","Geel-Bel","Westhoek vissersdorp",0.169398413007856,46,8
"217","Geel-Bel","Geel-Bel",0,46,46
"218","Geel-Bel","Karthuizerduinen",0.127645961688906,46,24
"219","Geel-Bel","Oostvoordduinen",0.133440352898402,46,21
"220","Geel-Bel","Astridlaan",0.124243722003929,46,19
"221","Geel-Bel","Wetteren",0.311767693556809,46,41
"222","Geel-Bel","Mt St Frieux",0.136964284304069,46,1
"223","Geel-Bel","Sangatte",0.139236439397834,46,3
"224","Geel-Bel","HB-Pylyserlaan",0.127470723269007,46,16
"225","Geel-Bel","HB-Doornpanne",0.148897054795944,46,14
"226","Geel-Bel","Witte Burg",0.13308383586087,46,18
"227","Geel-Bel","Ter Yde IWVA",0.160565070121769,46,23
"228","Geel-Bel","Veurne",0.12476340404365,46,6
"229","Geel-Bel","Slack",0.103029059547559,46,2
"230","Geel-Bel","HB-Noord",0.131436905574685,46,13
"231","Geel-Bel","Belvedere",0.158071483551308,46,12
"232","Geel-Bel","Westhoek NO",0.15082096595719,46,9
"233","Geel-Bel","Westhoek Oost",0.164282833414026,46,10
"234","Geel-Bel","Oosthoekduinen",0.139823876438067,46,11
"235","Geel-Bel","Schipgatduinen",0.14823640913531,46,17
"236","Geel-Bel","HB-Oost",0.10323129556536,46,15
"237","Geel-Bel","Zwinbosjes",0.172402792617013,46,38
"238","Geel-Bel","Ter Yde West",0.126503176515618,46,22
"239","Geel-Bel","Plaatsduinen",0.141638753572153,46,20
"240","Geel-Bel","Westhoek Zuid",0.115747061625673,46,4
"241","Geel-Bel","Kopberg",0.0434463859251876,46,47
"242","Geel-Bel","Keiheuvel",0.109729755010382,46,48
"243","Geel-Bel","Kortenhoeff-NL",0.265701363089737,46,42
"244","Geel-Bel","Arendschot",0.128026158339273,46,45
"245","Geel-Bel","Kalmthout",0.211379690661252,46,43
"246","Geel-Bel","Hamont-Achel3",0.184656569043934,46,50
"247","Geel-Bel","Hamont-Achel2",0.292476122757454,46,49
"248","Geel-Bel","Hamont-Achel1",0.200962411372432,46,51
"249","Geel-Bel","Vloethemveld-Zuid",0.169577355364279,46,40
"250","Geel-Bel","Raversijde2",0.131819861770171,46,30
"251","Geel-Bel","Vloethemveld-Noord",0.196117063181776,46,39
"252","Geel-Bel","DuinbossenDeHaan",0.124878387313815,46,36
"253","Geel-Bel","Raversijde1",0.189975775032582,46,29
"254","Geel-Bel","Raversijde3",0.190965609494688,46,31
"255","Geel-Bel","Bredene",0.198401123315918,46,35
"256","Geel-Bel","Fort Napoleon",0.188788698594894,46,33
"257","Geel-Bel","Averbode",0.0616992127908515,46,44
"258","Geel-Bel","Sint-Laureins2",0.158138079470352,46,27
"259","Geel-Bel","Sint-Laureins1",0.186459675972215,46,26
"260","Geel-Bel","WarandeduinenMiddelkerke",0.211107012591934,46,28
"261","Geel-Bel","Raversijde4",0.207807262617892,46,32
"262","Geel-Bel","SpanjaardduinenOostende",0.164478297869149,46,34
"263","Geel-Bel","Zwinbosjes-grazed",0.186773991147437,46,37
"264","Geel-Bel","Harchies",0.218866453955197,46,52
"265","Geel-Bel","Lagland",0.186352721949241,46,53
"266","Karthuizerduinen","Simliduinen",0.0418787571765162,24,25
"267","Karthuizerduinen","Cabour",0.0569801638858056,24,5
"268","Karthuizerduinen","Tropiflora",0.0337719951058448,24,7
"269","Karthuizerduinen","Westhoek vissersdorp",0.0463067457491669,24,8
"270","Karthuizerduinen","Geel-Bel",0.127645961688906,24,46
"271","Karthuizerduinen","Karthuizerduinen",0,24,24
"272","Karthuizerduinen","Oostvoordduinen",0.0443646862177012,24,21
"273","Karthuizerduinen","Astridlaan",0.0511861393949927,24,19
"274","Karthuizerduinen","Wetteren",0.18274802038233,24,41
"275","Karthuizerduinen","Mt St Frieux",0.092399242900992,24,1
"276","Karthuizerduinen","Sangatte",0.0492950886156173,24,3
"277","Karthuizerduinen","HB-Pylyserlaan",0.0343378611289711,24,16
"278","Karthuizerduinen","HB-Doornpanne",0.0514903138429005,24,14
"279","Karthuizerduinen","Witte Burg",0.0608604481168761,24,18
"280","Karthuizerduinen","Ter Yde IWVA",0.0437527565038087,24,23
"281","Karthuizerduinen","Veurne",0.0489151786659493,24,6
"282","Karthuizerduinen","Slack",0.0845769020221087,24,2
"283","Karthuizerduinen","HB-Noord",0.0413246435139512,24,13
"284","Karthuizerduinen","Belvedere",0.0395974319035031,24,12
"285","Karthuizerduinen","Westhoek NO",0.0459647753618914,24,9
"286","Karthuizerduinen","Westhoek Oost",0.0493520364130441,24,10
"287","Karthuizerduinen","Oosthoekduinen",0.0350144842008146,24,11
"288","Karthuizerduinen","Schipgatduinen",0.0737337672952988,24,17
"289","Karthuizerduinen","HB-Oost",0.0479185558448656,24,15
"290","Karthuizerduinen","Zwinbosjes",0.110460150803101,24,38
"291","Karthuizerduinen","Ter Yde West",0.03666472936375,24,22
"292","Karthuizerduinen","Plaatsduinen",0.0558305062640174,24,20
"293","Karthuizerduinen","Westhoek Zuid",0.0391037112176178,24,4
"294","Karthuizerduinen","Kopberg",0.104222973650235,24,47
"295","Karthuizerduinen","Keiheuvel",0.211271419041717,24,48
"296","Karthuizerduinen","Kortenhoeff-NL",0.284006268403266,24,42
"297","Karthuizerduinen","Arendschot",0.191778549726081,24,45
"298","Karthuizerduinen","Kalmthout",0.167437978634108,24,43
"299","Karthuizerduinen","Hamont-Achel3",0.177129700828461,24,50
"300","Karthuizerduinen","Hamont-Achel2",0.231672421539669,24,49
"301","Karthuizerduinen","Hamont-Achel1",0.161439692480594,24,51
"302","Karthuizerduinen","Vloethemveld-Zuid",0.0911153481792196,24,40
"303","Karthuizerduinen","Raversijde2",0.0773345977106629,24,30
"304","Karthuizerduinen","Vloethemveld-Noord",0.131191853974382,24,39
"305","Karthuizerduinen","DuinbossenDeHaan",0.0696386541358096,24,36
"306","Karthuizerduinen","Raversijde1",0.100401709225489,24,29
"307","Karthuizerduinen","Raversijde3",0.106438239420408,24,31
"308","Karthuizerduinen","Bredene",0.0965761023239141,24,35
"309","Karthuizerduinen","Fort Napoleon",0.0878091119772463,24,33
"310","Karthuizerduinen","Averbode",0.0902571369893269,24,44
"311","Karthuizerduinen","Sint-Laureins2",0.0795678531499965,24,27
"312","Karthuizerduinen","Sint-Laureins1",0.0725430335310278,24,26
"313","Karthuizerduinen","WarandeduinenMiddelkerke",0.105694487238318,24,28
"314","Karthuizerduinen","Raversijde4",0.0810155759870037,24,32
"315","Karthuizerduinen","SpanjaardduinenOostende",0.0739724701683157,24,34
"316","Karthuizerduinen","Zwinbosjes-grazed",0.125409404123772,24,37
"317","Karthuizerduinen","Harchies",0.229206171672636,24,52
"318","Karthuizerduinen","Lagland",0.189346041516187,24,53
"319","Oostvoordduinen","Simliduinen",0.0325402728023425,21,25
"320","Oostvoordduinen","Cabour",0.0336294611643203,21,5
"321","Oostvoordduinen","Tropiflora",0.0350842962198806,21,7
"322","Oostvoordduinen","Westhoek vissersdorp",0.0312517366342287,21,8
"323","Oostvoordduinen","Geel-Bel",0.133440352898402,21,46
"324","Oostvoordduinen","Karthuizerduinen",0.0443646862177012,21,24
"325","Oostvoordduinen","Oostvoordduinen",0,21,21
"326","Oostvoordduinen","Astridlaan",0.0258035436627043,21,19
"327","Oostvoordduinen","Wetteren",0.198567198896772,21,41
"328","Oostvoordduinen","Mt St Frieux",0.0901513269117193,21,1
"329","Oostvoordduinen","Sangatte",0.0527953072308348,21,3
"330","Oostvoordduinen","HB-Pylyserlaan",0.0435738522377077,21,16
"331","Oostvoordduinen","HB-Doornpanne",0.0449861797457635,21,14
"332","Oostvoordduinen","Witte Burg",0.0307977051725847,21,18
"333","Oostvoordduinen","Ter Yde IWVA",0.0331862962272951,21,23
"334","Oostvoordduinen","Veurne",0.0443392165871131,21,6
"335","Oostvoordduinen","Slack",0.0873893566392241,21,2
